"";"Date";"depth";"DO";"DOY";"year"
"1";2002-01-23;25;11,2672623529412;23;2002
"2";2002-02-27;25;12,2083166666667;58;2002
"3";2002-03-27;25;12,2847341666667;86;2002
"4";2002-04-17;25;11,7234733333333;107;2002
"5";2002-05-13;25;9,70642785714286;133;2002
"6";2002-06-17;25;7,83028277777778;168;2002
"7";2002-07-22;25;5,43029294117647;203;2002
"8";2002-08-19;25;4,23367;231;2002
"9";2002-09-17;25;2,65390866666667;260;2002
"10";2002-10-17;25;1,3480025;290;2002
"11";2002-11-20;25;0,508316363636364;324;2002
"12";2003-01-23;25;10,8095536363636;23;2003
"13";2003-02-18;25;11,8389125;49;2003
"14";2003-03-20;25;12,5354492307692;79;2003
"15";2003-04-16;25;12,091825;106;2003
"16";2003-05-15;25;10,74659;135;2003
"17";2003-06-12;25;8,42342;163;2003
"18";2003-07-01;25;7,11873764705882;182;2003
"19";2003-08-13;25;4,9167675;225;2003
"20";2003-09-04;25;3,92425875;247;2003
"21";2003-10-16;25;1,76688047619048;289;2003
"22";2003-11-13;25;1,07096555555556;317;2003
"23";2003-12-09;25;3,529855;343;2003
"24";2004-01-15;25;9,67224666666667;15;2004
"25";2004-02-18;25;11,7879890909091;49;2004
"26";2004-03-18;25;12,67217;78;2004
"27";2004-04-15;25;11,8024157142857;106;2004
"28";2004-05-13;25;10,42513;134;2004
"29";2004-06-09;25;8,55708866666667;161;2004
"30";2004-07-08;25;6,75887153846154;190;2004
"31";2004-08-11;25;4,74812571428571;224;2004
"32";2004-09-09;25;3,69169083333333;253;2004
"33";2004-10-13;25;1,59517111111111;287;2004
"34";2004-11-11;25;1,31187;316;2004
"35";2004-12-09;25;7,11643846153846;344;2004
"36";2005-01-13;25;10,2409471428571;13;2005
"37";2005-02-17;25;11,759418;48;2005
"38";2005-03-17;25;12,393208;76;2005
"39";2005-04-13;25;12,2782086666667;103;2005
"40";2005-05-18;25;10,1190385714286;138;2005
"41";2005-06-16;25;7,68703666666667;167;2005
"42";2005-07-14;25;6,42158933333333;195;2005
"43";2005-08-10;25;4,49842928571429;222;2005
"44";2005-09-15;25;3,11237727272727;258;2005
"45";2005-10-12;25;2,44955555555556;285;2005
"46";2005-11-10;25;1,0440675;314;2005
"47";2005-12-07;25;8,15806923076923;341;2005
"48";2006-01-12;25;11,2773618181818;12;2006
"49";2006-02-22;25;13,4619969230769;53;2006
"50";2006-03-23;25;14,0809172727273;82;2006
"51";2006-04-12;25;12,5353707692308;102;2006
"52";2006-05-11;25;11,467016;131;2006
"53";2006-06-14;25;8,5567675;165;2006
"54";2006-07-13;25;6,57186192307692;194;2006
"55";2006-08-16;25;4,53911928571429;228;2006
"56";2006-09-14;25;4,15002333333333;257;2006
"57";2006-10-12;25;2,129915;285;2006
"58";2006-11-16;25;0,305791666666667;320;2006
"59";2006-12-13;25;0,170145;347;2006
"60";2007-01-17;25;9,123051;17;2007
"61";2007-02-15;25;11,1444815384615;46;2007
"62";2007-03-14;25;11,09229;73;2007
"63";2007-04-12;25;11,1563876923077;102;2007
"64";2007-05-10;25;8,429821;130;2007
"65";2007-06-13;25;6,60775166666667;164;2007
"66";2007-07-12;25;5,19373;193;2007
"67";2007-08-09;25;3,90354333333333;221;2007
"68";2007-09-12;25;1,91378;255;2007
"69";2007-10-10;25;0,513043571428571;283;2007
"70";2007-11-08;25;8,27024454545455;312;2007
"71";2007-12-13;25;10,07194625;347;2007
"72";2008-01-23;25;11,3819336363636;23;2008
"73";2008-02-21;25;12,31967;52;2008
"74";2008-03-19;25;13,14222;79;2008
"75";2008-04-17;25;12,9443753846154;108;2008
"76";2008-05-21;25;10,01536125;142;2008
"77";2008-06-11;25;8,64574111111111;163;2008
"78";2008-07-10;25;6,73609176470588;192;2008
"79";2008-08-07;25;5,908789375;220;2008
"80";2008-09-10;25;4,17033222222222;254;2008
"81";2008-10-15;25;2,41604272727273;289;2008
"82";2008-11-13;25;0,641503333333333;318;2008
"83";2008-12-10;25;7,56151555555556;345;2008
"84";2009-01-22;25;10,8420168421053;22;2009
"85";2009-02-23;25;11,6673076923077;54;2009
"86";2009-03-19;25;13,4472127272727;78;2009
"87";2009-04-08;25;13,2355625;98;2009
"88";2009-05-13;25;11,4067384615385;133;2009
"89";2009-06-18;25;8,794643;169;2009
"90";2009-07-22;25;6,7059725;203;2009
"91";2009-08-19;25;5,4350175;231;2009
"92";2009-09-17;25;3,91725301204819;260;2009
"93";2009-10-14;25;2,79213222222222;287;2009
"94";2009-11-12;25;1,70453857142857;316;2009
"95";2009-12-09;25;0,438812;343;2009
"96";2010-01-14;25;9,22136666666667;14;2010
"97";2010-02-24;25;12,8642555555556;55;2010
"98";2010-03-18;25;13,5452247368421;77;2010
"99";2010-04-14;25;12,4932188888889;104;2010
"100";2010-05-19;25;10,2753644444444;139;2010
"101";2010-06-17;25;8,37666909090909;168;2010
"102";2010-07-14;25;6,53892635;195;2010
"103";2010-08-18;25;4,97135373;230;2010
"104";2010-09-16;25;3,62430888888889;259;2010
"105";2010-10-20;25;2,95157111111111;293;2010
"106";2010-11-18;25;0,518341818181818;322;2010
"107";2010-12-15;25;7,981221;349;2010
"108";2011-01-13;25;9,48286692307692;13;2011
"109";2011-02-16;25;12,064685;47;2011
"110";2011-03-17;25;11,8877058384615;76;2011
"111";2011-04-20;25;10,7186083333333;110;2011
"112";2011-05-18;25;8,8317;138;2011
"113";2011-06-17;25;7,413254;168;2011
"114";2011-07-13;25;4,82462333333333;194;2011
"115";2011-08-22;25;1,87998833333333;234;2011
"116";2011-09-15;25;0,924588571428571;258;2011
"117";2011-10-11;25;0;284;2011
"118";2011-11-17;25;0,155585;321;2011
"119";2011-12-19;25;8,63105166666667;353;2011
"120";2012-01-19;25;9,72201416666667;19;2012
"121";2012-03-01;25;13,7896916666667;61;2012
"122";2012-03-15;25;15,0446381818182;75;2012
"123";2012-04-12;25;13,6137869230769;103;2012
"124";2012-05-09;25;10,7528933333333;130;2012
"125";2012-06-14;25;7,88638444444444;166;2012
"126";2012-07-11;25;6,49279555555556;193;2012
"127";2012-08-16;25;4,259341;229;2012
"128";2012-09-13;25;2,17621363636364;257;2012
"129";2012-10-17;25;0,915568181818182;291;2012
"130";2012-11-15;25;0,278809166666667;320;2012
"131";2012-12-12;25;7,80493733333333;347;2012
"132";2013-01-23;25;9,67935454545455;23;2013
"133";2013-02-20;25;10,897938;51;2013
"134";2013-03-20;25;12,0841722222222;79;2013
"135";2013-04-17;25;12,99641625;107;2013
"136";2013-05-15;25;11,537118;135;2013
"137";2013-06-13;25;9,50545181818182;164;2013
"138";2013-07-17;25;6,5845575;198;2013
"139";2013-08-21;25;5,13666875;233;2013
"140";2013-09-18;25;3,97642375;261;2013
"141";2013-10-17;25;2,49176545454545;290;2013
"142";2013-11-21;25;3,92257272727273;325;2013
"143";2013-12-11;25;8,69542555555556;345;2013
"144";2014-01-22;25;9,06911777777778;22;2014
"145";2014-02-19;25;10,41428125;50;2014
"146";2014-03-12;25;11,7958715384615;71;2014
"147";2014-04-16;25;10,515694;106;2014
"148";2014-05-14;25;8,36497777777778;134;2014
"149";2014-06-18;25;6,6193625;169;2014
"150";2014-07-16;25;7,63315333333333;197;2014
"151";2014-08-20;25;2,9281375;232;2014
"152";2014-09-18;25;0;261;2014
"153";2014-10-16;25;0,2735;289;2014
"154";2014-11-12;25;0,0984666666666667;316;2014
"155";2014-12-10;25;0,172911111111111;344;2014
"156";2015-01-14;25;8,94556153846154;14;2015
"157";2015-02-12;25;11,91664375;43;2015
"158";2015-03-11;25;12,427175;70;2015
"159";2015-04-09;25;12,48209375;99;2015
"160";2015-05-20;25;10,2265666666667;140;2015
"161";2015-06-18;25;8,29844166666667;169;2015
"162";2015-07-15;25;6,44217857142857;196;2015
"163";2015-08-12;25;5,67556666666666;224;2015
"164";2015-09-10;25;4,2859;253;2015
"165";2015-10-15;25;2,12425;288;2015
"166";2015-11-18;25;1,43678888888889;322;2015
"167";2015-12-16;25;7,88057777777778;350;2015
"168";2016-01-18;25;8,85917272727273;18;2016
"169";2016-02-17;25;10,8940090909091;48;2016
"170";2016-03-16;25;12,0471666666667;76;2016
"171";2016-04-13;25;11,4097333333333;104;2016
"172";2016-05-11;25;9,61418888888889;132;2016
"173";2016-06-09;25;8,01045;161;2016
"174";2016-07-06;25;6,83823;188;2016
"175";2016-08-10;25;4,72417777777778;223;2016
"176";2016-09-08;25;3,95769285714286;252;2016
"177";2016-10-13;25;1,69039166666667;287;2016
"178";2016-11-09;25;1,32833636363636;314;2016
"179";2016-12-14;25;7,30258;349;2016
"180";2017-01-20;25;11,2068125575458;20;2017
"181";2017-02-16;25;11,8187615384615;47;2017
"182";2017-03-15;25;12,4655444444444;74;2017
"183";2017-04-12;25;11,6113454545455;102;2017
"184";2017-05-18;25;9,46217857142857;138;2017
"185";2017-06-14;25;7,792075;165;2017
"186";2017-07-13;25;6,46625555555556;194;2017
"187";2017-08-16;25;4,31372222222222;228;2017
"188";2017-09-26;25;2,66949090909091;269;2017
"189";2017-10-12;25;2,08195454545455;285;2017
"190";2017-11-08;25;1,91048888888889;312;2017
"191";2017-12-13;25;7,967375;347;2017
