"";"Date";"DOmass";"month";"year";"DOY"
"1";2002-01-23;3,79859412916084;1;2002;23
"2";2002-02-27;4,14185111433132;2;2002;58
"3";2002-03-27;4,14613193169043;3;2002;86
"4";2002-04-17;3,98563718447429;4;2002;107
"5";2002-05-13;3,3346686324876;5;2002;133
"6";2002-06-17;2,39632355386787;6;2002;168
"7";2002-07-22;1,51386375469343;7;2002;203
"8";2002-08-19;0,946779700423345;8;2002;231
"9";2002-09-17;0,663250510340017;9;2002;260
"10";2002-10-17;0,69408753042628;10;2002;290
"11";2002-11-20;1,53289760580036;11;2002;324
"12";2003-01-23;3,66259009243227;1;2003;23
"13";2003-02-18;4,00008198235219;2;2003;49
"14";2003-03-20;4,25706926841062;3;2003;79
"15";2003-04-16;4,15338478469841;4;2003;106
"16";2003-05-15;3,56432599438827;5;2003;135
"17";2003-06-12;2,57830401310619;6;2003;163
"18";2003-07-01;1,97773304564087;7;2003;182
"19";2003-08-13;1,08592156930288;8;2003;225
"20";2003-09-04;0,710125618252961;9;2003;247
"21";2003-10-16;0,943892823078887;10;2003;289
"22";2003-11-13;1,40283643107062;11;2003;317
"23";2003-12-09;1,70236747179757;12;2003;343
"24";2004-01-15;3,27985019523676;1;2004;15
"25";2004-02-18;3,99306650677861;2;2004;49
"26";2004-03-18;4,26373241340605;3;2004;78
"27";2004-04-15;4,00336942396831;4;2004;106
"28";2004-05-13;3,55667976159888;5;2004;134
"29";2004-06-09;2,89056859281136;6;2004;161
"30";2004-07-08;2,16371857267792;7;2004;190
"31";2004-08-11;1,3767060276382;8;2004;224
"32";2004-09-09;0,882194214250997;9;2004;253
"33";2004-10-13;0,830336822806172;10;2004;287
"34";2004-11-11;1,15132010545707;11;2004;316
"35";2004-12-09;2,40818663179677;12;2004;344
"36";2005-01-13;3,42044947865152;1;2005;13
"37";2005-02-17;3,98252079233211;2;2005;48
"38";2005-03-17;4,1972302427993;3;2005;76
"39";2005-04-13;4,16157960852333;4;2005;103
"40";2005-05-18;3,49284001340908;5;2005;138
"41";2005-06-16;2,62145667637607;6;2005;167
"42";2005-07-14;1,9010278994965;7;2005;195
"43";2005-08-10;1,28621403488092;8;2005;222
"44";2005-09-15;0,781198924039473;9;2005;258
"45";2005-10-12;1,02252535176574;10;2005;285
"46";2005-11-10;0,9580989918732;11;2005;314
"47";2005-12-07;2,75146095813659;12;2005;341
"48";2006-01-12;3,85784286544015;1;2006;12
"49";2006-02-22;4,57757440287471;2;2006;53
"50";2006-03-23;4,75334890165935;3;2006;82
"51";2006-04-12;4,26760761562525;4;2006;102
"52";2006-05-11;3,80017431118738;5;2006;131
"53";2006-06-14;2,78709687684515;6;2006;165
"54";2006-07-13;1,79522273190862;7;2006;194
"55";2006-08-16;1,17204892545689;8;2006;228
"56";2006-09-14;0,843633040292065;9;2006;257
"57";2006-10-12;0,582622798009427;10;2006;285
"58";2006-11-16;1,13610151755527;11;2006;320
"59";2006-12-13;NA;12;2006;347
"60";2007-01-17;3,12046272299135;1;2007;17
"61";2007-02-15;3,77190760371581;2;2007;46
"62";2007-03-14;3,75248704075489;3;2007;73
"63";2007-04-12;3,83318512790554;4;2007;102
"64";2007-05-10;2,94675137960011;5;2007;130
"65";2007-06-13;2,21363309199286;6;2007;164
"66";2007-07-12;1,74283735430814;7;2007;193
"67";2007-08-09;1,20653056892023;8;2007;221
"68";2007-09-12;0,996986470928223;9;2007;255
"69";2007-10-10;0,542842268965143;10;2007;283
"70";2007-11-08;2,07894184039648;11;2007;312
"71";2007-12-13;3,41354789012652;12;2007;347
"72";2008-01-23;3,85176340335555;1;2008;23
"73";2008-02-21;4,18631239432545;2;2008;52
"74";2008-03-19;4,44874874577156;3;2008;79
"75";2008-04-17;4,36356475052826;4;2008;108
"76";2008-05-21;3,32996196703561;5;2008;142
"77";2008-06-11;2,76055900764156;6;2008;163
"78";2008-07-10;2,1025860210268;7;2008;192
"79";2008-08-07;1,64261976895874;8;2008;220
"80";2008-09-10;0,928322677324581;9;2008;254
"81";2008-10-15;1,22598272777671;10;2008;289
"82";2008-11-13;1,28040264875849;11;2008;318
"83";2008-12-10;2,53927239701666;12;2008;345
"84";2009-01-22;3,67402912484615;1;2009;22
"85";2009-02-23;3,9702230780187;2;2009;54
"86";2009-03-19;4,5465547178337;3;2009;78
"87";2009-04-08;4,5246659431143;4;2009;98
"88";2009-05-13;3,67532154163219;5;2009;133
"89";2009-06-18;2,75966054010701;6;2009;169
"90";2009-07-22;2,05547292919833;7;2009;203
"91";2009-08-19;1,31425225725417;8;2009;231
"92";2009-09-17;1,18025465075183;9;2009;260
"93";2009-10-14;1,26198455265449;10;2009;287
"94";2009-11-12;1,38674164059674;11;2009;316
"95";2009-12-09;1,49723690811316;12;2009;343
"96";2010-01-14;3,14322413514869;1;2010;14
"97";2010-02-24;4,27476430584574;2;2010;55
"98";2010-03-18;4,53841383794385;3;2010;77
"99";2010-04-14;4,1885460436847;4;2010;104
"100";2010-05-19;3,42314831379596;5;2010;139
"101";2010-06-17;2,86832398811213;6;2010;168
"102";2010-07-14;2,21337599053428;7;2010;195
"103";2010-08-18;1,39795493923418;8;2010;230
"104";2010-09-16;1,09204541944532;9;2010;259
"105";2010-10-20;1,28776855201505;10;2010;293
"106";2010-11-18;1,52893071229645;11;2010;322
"107";2010-12-15;2,66866709136368;12;2010;349
"108";2011-01-13;3,19933764619481;1;2011;13
"109";2011-02-16;4,12457883815195;2;2011;47
"110";2011-03-17;4,05196610339713;3;2011;76
"111";2011-04-20;3,62028225602575;4;2011;110
"112";2011-05-18;3,03911543971497;5;2011;138
"113";2011-06-17;1,93397330042954;6;2011;168
"114";2011-07-13;1,34644989601518;7;2011;194
"115";2011-08-22;0,522290897702347;8;2011;234
"116";2011-09-15;0,141292147843975;9;2011;258
"117";2011-10-11;NA;10;2011;284
"118";2011-11-17;0,812450971443736;11;2011;321
"119";2011-12-19;2,90652338024278;12;2011;353
"120";2012-01-19;3,28910757039863;1;2012;19
"121";2012-03-01;4,6181985254783;3;2012;61
"122";2012-03-15;5,08764635702775;3;2012;75
"123";2012-04-12;4,5172958128088;4;2012;103
"124";2012-05-09;3,66566261424764;5;2012;130
"125";2012-06-14;2,635220242471;6;2012;166
"126";2012-07-11;2,01125360976177;7;2012;193
"127";2012-08-16;1,09135362120988;8;2012;229
"128";2012-09-13;0,713635732643089;9;2012;257
"129";2012-10-17;0,791457231959226;10;2012;291
"130";2012-11-15;1,33417612701023;11;2012;320
"131";2012-12-12;2,6404543353708;12;2012;347
"132";2013-01-23;3,26933824532502;1;2013;23
"133";2013-02-20;3,65341056752559;2;2013;51
"134";2013-03-20;4,09540198372567;3;2013;79
"135";2013-04-17;4,48437765581129;4;2013;107
"136";2013-05-15;3,74088352210689;5;2013;135
"137";2013-06-13;3,08607431203091;6;2013;164
"138";2013-07-17;2,33479507043624;7;2013;198
"139";2013-08-21;1,45147642059375;8;2013;233
"140";2013-09-18;1,223065944651;9;2013;261
"141";2013-10-17;0,965756186713302;10;2013;290
"142";2013-11-21;1,7631778815929;11;2013;325
"143";2013-12-11;2,93893616904988;12;2013;345
"144";2014-01-22;3,14280006798148;1;2014;22
"145";2014-02-19;3,56401151710449;2;2014;50
"146";2014-03-12;3,97619794174684;3;2014;71
"147";2014-04-16;3,5080426461834;4;2014;106
"148";2014-05-14;2,91452326513288;5;2014;134
"149";2014-06-18;2,40894881319085;6;2014;169
"150";2014-07-16;2,19084438227244;7;2014;197
"151";2014-08-20;0,864001542389937;8;2014;232
"152";2014-09-18;NA;9;2014;261
"153";2014-10-16;0,446924799410888;10;2014;289
"154";2014-11-12;0,849331967806292;11;2014;316
"155";2014-12-10;1,38823720363859;12;2014;344
"156";2015-01-14;3,03386219348901;1;2015;14
"157";2015-02-12;4,04449101800914;2;2015;43
"158";2015-03-11;4,27830416482882;3;2015;70
"159";2015-04-09;4,24755607997991;4;2015;99
"160";2015-05-20;3,31294392512014;5;2015;140
"161";2015-06-18;2,74400476951568;6;2015;169
"162";2015-07-15;2,17343769700421;7;2015;196
"163";2015-08-12;1,462572906154;8;2015;224
"164";2015-09-10;1,08591902246564;9;2015;253
"165";2015-10-15;1,23787473031845;10;2015;288
"166";2015-11-18;1,39770884017001;11;2015;322
"167";2015-12-16;1,98919908539107;12;2015;350
"168";2016-01-18;2,9979991095226;1;2016;18
"169";2016-02-17;3,68668762390887;2;2016;48
"170";2016-03-16;4,07068600787117;3;2016;76
"171";2016-04-13;3,89235138935411;4;2016;104
"172";2016-05-11;3,30812623298059;5;2016;132
"173";2016-06-09;2,78139976885996;6;2016;161
"174";2016-07-06;2,23553838640106;7;2016;188
"175";2016-08-10;1,46075928306726;8;2016;223
"176";2016-09-08;0,95983748762413;9;2016;252
"177";2016-10-13;1,08769886956234;10;2016;287
"178";2016-11-09;1,29219976598634;11;2016;314
"179";2016-12-14;2,47212766046398;12;2016;349
"180";2017-01-20;3,79832358535683;1;2017;20
"181";2017-02-16;3,99420380032889;2;2017;47
"182";2017-03-15;4,24609635260398;3;2017;74
"183";2017-04-12;3,94867438181993;4;2017;102
"184";2017-05-18;3,20851383534606;5;2017;138
"185";2017-06-14;2,64850124198078;6;2017;165
"186";2017-07-13;1,95438800719429;7;2017;194
"187";2017-08-16;1,30972374991287;8;2017;228
"188";2017-09-26;0,925963281430064;9;2017;269
"189";2017-10-12;0,860346955460726;10;2017;285
"190";2017-11-08;1,2913581324406;11;2017;312
"191";2017-12-13;2,68681423810388;12;2017;347
